74,Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,TRUE,TRUE
75,Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,TRUE,TRUE
76,CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,TRUE,TRUE
77,ArabSat 6A,2019-04-11T22:35:00.000Z,TRUE,TRUE
78,CRS-17,2019-05-04T06:48:00.000Z,TRUE,TRUE
79,Starlink v0.9,2019-05-24T02:30:00.000Z,TRUE,TRUE
80,RADARSAT Constellation,2019-06-12T14:17:00.000Z,TRUE,TRUE
81,STP-2,2019-06-25T03:30:00.000Z,FALSE,TRUE
82,CRS-18,2019-07-25T22:01:00.000Z,TRUE,TRUE
83,Amos-17,2019-08-06T22:52:00.000Z,FALSE,TRUE
84,Starlink-1,2019-11-11T14:56:00.000Z,TRUE,TRUE
85,CRS-19,2019-12-05T17:29:23.000Z,TRUE,TRUE
86,JCSat 18 / Kacific 1,2019-12-17T00:10:00.000Z,TRUE,TRUE
87,Starlink-2,2020-01-07T02:19:00.000Z,TRUE,TRUE
88,Crew Dragon In Flight Abort Test,2020-01-19T14:00:00.000Z,FALSE,TRUE
89,Starlink-3,2020-01-29T14:06:00.000Z,TRUE,TRUE
90,Starlink-4,2020-02-17T15:05:55.000Z,FALSE,TRUE
91,CRS-20,2020-03-07T04:50:31.000Z,TRUE,TRUE
92,Starlink-5,2020-03-18T12:16:00.000Z,FALSE,TRUE
93,Starlink-6,2020-04-22T19:30:00.000Z,TRUE,TRUE
95,Starlink-7,2020-06-04T01:25:00.000Z,TRUE,TRUE
94,CCtCap Demo Mission 2,2020-05-30T19:22:00.000Z,TRUE,TRUE
96,Starlink-8 & SkySat 16-18,2020-06-13T09:21:00.000Z,TRUE,TRUE
101,"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30T23:18:00.000Z,TRUE,TRUE
97,GPS III SV03 (Columbus),2020-06-30T19:55:00.000Z,TRUE,TRUE
111,SXM-7,2020-12-13T17:30:00.000Z,TRUE,TRUE
